NUM_POINTS,TIME
9,1.2048
16,0.8049
25,0.8394
36,0.7632
49,0.8208
64,0.7779
81,0.7276
100,0.7790
121,0.7435
144,0.9579
169,0.8930
196,0.9770
225,0.9817
256,0.8673
289,0.9683
324,0.7679
361,0.8171
400,0.9339
441,1.0526
484,1.0747
529,0.9716
576,0.9102
625,1.1638
676,0.8720
729,1.2023
784,1.0623
841,1.1100
900,1.2812
961,1.0803
1024,1.1049
1089,1.2844
1156,1.1094
1225,1.1399
1296,1.4275
1369,1.2070
1444,1.2563
1521,1.5074
1600,1.2461
1681,1.5895
1764,1.5128
1849,1.6561
1936,1.6297
2025,1.4356
2116,1.6745
2209,1.8077
2304,1.7602
2401,1.8275
2500,1.7519
2601,1.9381
2704,1.6600
2809,1.8818
2916,2.0200
3025,2.0136
3136,2.1204
3249,2.2061
3364,2.0784
3481,2.1384
3600,1.9795
3721,2.0243
3844,2.2672
3969,2.1079
4096,2.3441
4225,2.3882
4356,2.4656
4489,2.5081
4624,2.3772
4761,2.6056
4900,2.7128
5041,2.6003
5184,2.7220
5329,2.8597
5476,2.8943
5625,2.9213
5776,2.8170
5929,3.0577
6084,3.1351
6241,2.9956
6400,3.1839
6561,3.2865
6724,3.4154
6889,3.3414
7056,3.4903
7225,3.2829
7396,3.4926
7569,3.4192
7744,3.5971
7921,3.7121
8100,3.6088
8281,3.7965
8464,3.8296
8649,3.8551
8836,3.9050
9025,4.0154
9216,4.0885
9409,4.2840
9604,4.2082
9801,4.5063
10000,4.4743
10201,4.6035
10404,4.4404
10609,4.5943
10816,4.6037
11025,4.9093
11236,4.9650
11449,5.0571
11664,5.1055
11881,5.1651
12100,5.1766
12321,5.2189
12544,5.4377
12769,5.4885
12996,5.3557
13225,5.6367
13456,5.7775
13689,5.8462
13924,5.8550
14161,5.8816
14400,6.0991
14641,6.2901
14884,7.8708
15129,6.2770
15376,6.4346
15625,6.5297
15876,6.3291
16129,6.2945
16384,6.4944
